Source,Category,Spending,value
Median Income,Income Tax,Federal Taxes,2058
Median Income,Income Tax,State + Local Taxes,3963
Median Income,Spending,Food,4051
Median Income,Spending,Alcohol,392
Median Income,Spending,Housing,17006
Median Income,Spending,Apparel and Services,1253
Median Income,Spending,Transportation,7406
Median Income,Spending,Healthcare,4358
Median Income,Spending,Entertainment,2094
Median Income,Spending,Personal care,592
Median Income,Spending,Education,595
Median Income,Saving,,1013